benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
hecs_1_1-po-2.dft 125 13 12 48 2 2
hecs_2_1-po-2.dft 172 12 10 20 1 1
hecs_2_2-po-2.dft 156 12 10 20 1 1
hecs_3_1-po-2.dft 297 17 14 25 1 1
hecs_3_3-po-2.dft 313 17 14 25 1 1
hecs_4_1-po-2.dft 485 22 18 30 1 1
hecs_4_2-po-2.dft 500 22 18 30 1 1
hecs_4_3-po-2.dft 531 22 18 30 1 1
hecs_4_4-po-2.dft 500 22 18 30 1 1
hecs_5_1-po-2.dft 735 27 22 35 1 1
hecs_5_5-po-2.dft 734 27 22 35 1 1
hecs_6_1-po-2.dft 1032 32 26 40 1 1
hecs_6_6-po-2.dft 1078 32 26 40 1 1
hecs_7_1-po-2.dft 1406 37 30 45 1 1
hecs_7_7-po-2.dft 1422 37 30 45 1 1
hecs_8_1-po-2.dft 1750 42 34 50 1 1
hecs_8_8-po-2.dft 1734 42 34 50 1 1
