benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
rc.1-1-hc-po-2.dft 2500 6 4 72 256 202
rc.1-1-sc-po-2.dft 26152 1 0 36 295 295
rc.1-10-hc-po-2.dft 969 17 6 32 1 1
rc.1-10-sc-po-2.dft 688 12 2 28 1 1
rc.1-15-hc-po-2.dft 1625 22 6 37 1 1
rc.1-15-sc-po-2.dft 1266 17 2 33 1 1
rc.1-2-hc-po-2.dft 234 9 6 24 1 1
rc.1-2-sc-po-2.dft 109 4 2 20 1 1
rc.1-20-hc-po-2.dft 2484 27 6 42 1 1
rc.1-20-sc-po-2.dft 1999 22 2 38 1 1
rc.1-25-hc-po-2.dft 3438 32 6 47 1 1
rc.1-25-sc-po-2.dft 2891 27 2 43 1 1
rc.1-3-hc-po-2.dft 297 10 6 25 1 1
rc.1-3-sc-po-2.dft 187 5 2 21 1 1
rc.1-30-hc-po-2.dft 4547 37 6 52 1 1
rc.1-30-sc-po-2.dft 4000 32 2 48 1 1
rc.1-4-hc-po-2.dft 374 11 6 26 1 1
rc.1-4-sc-po-2.dft 234 6 2 22 1 1
rc.1-5-hc-po-2.dft 453 12 6 27 1 1
rc.1-5-sc-po-2.dft 297 7 2 23 1 1
rc.10-1-hc-po-2.dft 797 17 15 187 1 1
rc.10-1-sc-po-2.dft 593 12 11 151 17 17
rc.10-10-hc-po-2.dft 1953 29 18 38 1 1
rc.10-10-sc-po-2.dft 1578 23 13 34 1 1
rc.15-1-hc-po-2.dft 1281 22 20 252 1 1
rc.15-1-sc-po-2.dft 1032 17 16 216 17 17
rc.15-15-hc-po-2.dft 3762 39 23 48 1 1
rc.15-15-sc-po-2.dft 3250 33 18 44 1 1
rc.2-1-hc-po-2.dft 234 9 7 83 1 1
rc.2-1-sc-po-2.dft 188 4 3 47 17 17
rc.2-2-hc-po-2.dft 281 13 10 22 1 1
rc.2-2-sc-po-2.dft 141 7 5 18 1 1
rc.2-3-hc-po-2.dft 343 14 10 23 1 1
rc.2-3-sc-po-2.dft 204 8 5 19 1 1
rc.2-4-hc-po-2.dft 422 15 10 24 1 1
rc.2-4-sc-po-2.dft 250 9 5 20 1 1
rc.20-1-hc-po-2.dft 1984 27 25 317 1 1
rc.20-1-sc-po-2.dft 1656 22 21 281 17 17
rc.20-20-hc-po-2.dft 6251 49 28 58 1 1
rc.20-20-sc-po-2.dft 5531 43 23 54 1 1
rc.25-1-hc-po-2.dft 2750 32 30 382 1 1
rc.25-1-sc-po-2.dft 2360 27 26 346 17 17
rc.25-25-hc-po-2.dft 9312 59 33 68 1 1
rc.25-25-sc-po-2.dft 8407 53 28 64 1 1
rc.3-1-hc-po-2.dft 281 10 8 96 1 1
rc.3-1-sc-po-2.dft 219 5 4 60 17 17
rc.3-2-hc-po-2.dft 312 14 11 23 1 1
rc.3-2-sc-po-2.dft 171 8 6 19 1 1
rc.3-3-hc-po-2.dft 391 15 11 24 1 1
rc.3-3-sc-po-2.dft 234 9 6 20 1 1
rc.3-4-hc-po-2.dft 484 16 11 25 1 1
rc.3-4-sc-po-2.dft 343 10 6 21 1 1
rc.30-1-hc-po-2.dft 3703 37 35 447 1 1
rc.30-1-sc-po-2.dft 3234 32 31 411 17 17
rc.30-30-hc-po-2.dft 12969 69 38 78 1 1
rc.30-30-sc-po-2.dft 11950 63 33 74 1 1
rc.4-1-hc-po-2.dft 360 11 9 109 1 1
rc.4-1-sc-po-2.dft 250 6 5 73 17 17
rc.4-2-hc-po-2.dft 375 15 12 24 1 1
rc.4-2-sc-po-2.dft 218 9 7 20 1 1
rc.4-3-hc-po-2.dft 469 16 12 25 1 1
rc.4-3-sc-po-2.dft 281 10 7 21 1 1
rc.4-4-hc-po-2.dft 546 17 12 26 1 1
rc.4-4-sc-po-2.dft 359 11 7 22 1 1
rc.5-1-hc-po-2.dft 390 12 10 122 1 1
rc.5-1-sc-po-2.dft 282 7 6 86 17 17
rc.5-5-hc-po-2.dft 718 19 13 28 1 1
rc.5-5-sc-po-2.dft 500 13 8 24 1 1
