benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
hecs_1_1.dft 0 3 1 0 1 1 1
hecs_2_1.dft 0 6 2 0 2 2 2
hecs_2_2.dft 0 6 2 0 2 2 2
hecs_3_1.dft 0 9 3 0 3 3 3
hecs_3_3.dft 0 9 3 0 3 3 3
hecs_4_1.dft 15 12 4 0 4 4 4
hecs_4_2.dft 0 12 4 0 4 4 4
hecs_4_3.dft 15 12 4 0 4 4 4
hecs_4_4.dft 16 12 4 0 4 4 4
hecs_5_1.dft 0 15 5 0 5 5 5
hecs_5_5.dft 16 15 5 0 5 5 5
hecs_6_1.dft 15 18 6 0 6 6 6
hecs_6_6.dft 16 18 6 0 6 6 6
hecs_7_1.dft 32 21 7 0 7 7 7
hecs_7_7.dft 16 21 7 0 7 7 7
hecs_8_1.dft 16 24 8 0 8 8 8
hecs_8_8.dft 31 24 8 0 8 8 8
