benchmarkName time countModules countTrimmedModules maxModuleSize maxModuleRaSize raSize
rc.1-1-hc-repair-po-3.dft 106011 19 17 91 2998 17082
rc.1-1-sc-repair-po-3.dft 78 13 12 10 6 6
rc.1-10-hc-repair-po-3.dft 1200000 18 17 nan nan nan
rc.1-10-sc-repair-po-3.dft 1200000 12 11 nan nan nan
rc.1-15-hc-repair-po-3.dft 1200000 18 17 nan nan nan
rc.1-15-sc-repair-po-3.dft 1200000 12 11 nan nan nan
rc.1-2-hc-repair-po-3.dft 1200000 18 17 nan nan nan
rc.1-2-sc-repair-po-3.dft 1200000 12 11 nan nan nan
rc.1-20-hc-repair-po-3.dft 1200000 18 17 nan nan nan
rc.1-20-sc-repair-po-3.dft 1200000 12 11 nan nan nan
rc.1-25-hc-repair-po-3.dft 1800000 18 17 nan nan nan
rc.1-25-sc-repair-po-3.dft 1800000 12 11 nan nan nan
rc.1-3-hc-repair-po-3.dft 1200000 18 17 nan nan nan
rc.1-3-sc-repair-po-3.dft 1200000 12 11 nan nan nan
rc.1-30-hc-repair-po-3.dft 1800000 18 17 nan nan nan
rc.1-30-sc-repair-po-3.dft 1800000 12 11 nan nan nan
rc.1-4-hc-repair-po-3.dft 1200000 18 17 nan nan nan
rc.1-4-sc-repair-po-3.dft 1200000 12 11 nan nan nan
rc.1-5-hc-repair-po-3.dft 1200000 18 17 nan nan nan
rc.1-5-sc-repair-po-3.dft 1200000 12 11 nan nan nan
rc.10-1-hc-repair-po-3.dft 1200000 8 6 10 6 nan
rc.10-1-sc-repair-po-3.dft 608 2 1 10 6 6
rc.10-10-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.10-10-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.15-1-hc-repair-po-3.dft 1200000 8 6 nan nan nan
rc.15-1-sc-repair-po-3.dft 1520 2 1 10 6 6
rc.15-15-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.15-15-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.2-1-hc-repair-po-3.dft 1200000 8 6 nan nan nan
rc.2-1-sc-repair-po-3.dft 101 2 1 10 6 6
rc.2-2-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.2-2-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.2-3-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.2-3-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.2-4-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.2-4-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.20-1-hc-repair-po-3.dft 1200000 8 6 nan nan nan
rc.20-1-sc-repair-po-3.dft 2053 2 1 10 6 6
rc.20-20-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.20-20-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.25-1-hc-repair-po-3.dft 1200000 8 6 10 6 nan
rc.25-1-sc-repair-po-3.dft 3062 2 1 10 6 6
rc.25-25-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.25-25-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.3-1-hc-repair-po-3.dft 1200000 8 6 nan nan nan
rc.3-1-sc-repair-po-3.dft 170 2 1 10 6 6
rc.3-2-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.3-2-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.3-3-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.3-3-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.3-4-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.3-4-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.30-1-hc-repair-po-3.dft 1200000 8 6 nan nan nan
rc.30-1-sc-repair-po-3.dft 4177 2 1 10 6 6
rc.30-30-hc-repair-po-3.dft 1800000 7 6 nan nan nan
rc.30-30-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.4-1-hc-repair-po-3.dft 1200000 8 6 nan nan nan
rc.4-1-sc-repair-po-3.dft 171 2 1 10 6 6
rc.4-2-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.4-2-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.4-3-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.4-3-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.4-4-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.4-4-sc-repair-po-3.dft 1200000 1 0 nan nan nan
rc.5-1-hc-repair-po-3.dft 1200000 8 6 10 6 nan
rc.5-1-sc-repair-po-3.dft 225 2 1 10 6 6
rc.5-5-hc-repair-po-3.dft 1200000 7 6 nan nan nan
rc.5-5-sc-repair-po-3.dft 1200000 1 0 nan nan nan
