benchmarkName time removedStates removedTransitions CleanMinimizer FinalStateMinimizer OrthogonalPartitionRefinementMinimizer PartitionRefinementMinimizer
rc.1-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.1-1-sc-po-2.dft 10 18 40 0 1 0 17
rc.1-10-hc-po-2.dft 92 216 401 0 11 0 205
rc.1-10-sc-po-2.dft 83 210 390 0 10 0 200
rc.1-15-hc-po-2.dft 130 321 596 0 16 0 305
rc.1-15-sc-po-2.dft 129 315 585 0 15 0 300
rc.1-2-hc-po-2.dft 19 48 89 0 3 0 45
rc.1-2-sc-po-2.dft 17 42 78 0 2 0 40
rc.1-20-hc-po-2.dft 177 426 791 0 21 0 405
rc.1-20-sc-po-2.dft 174 420 780 0 20 0 400
rc.1-25-hc-po-2.dft 217 531 986 0 26 0 505
rc.1-25-sc-po-2.dft 215 525 975 0 25 0 500
rc.1-3-hc-po-2.dft 31 69 128 0 4 0 65
rc.1-3-sc-po-2.dft 25 63 117 0 3 0 60
rc.1-30-hc-po-2.dft 266 636 1181 0 31 0 605
rc.1-30-sc-po-2.dft 258 630 1170 0 30 0 600
rc.1-4-hc-po-2.dft 37 90 167 0 5 0 85
rc.1-4-sc-po-2.dft 34 84 156 0 4 0 80
rc.1-5-hc-po-2.dft 49 111 206 0 6 0 105
rc.1-5-sc-po-2.dft 42 105 195 0 5 0 100
rc.10-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.10-1-sc-po-2.dft 9 18 40 0 1 0 17
rc.10-10-hc-po-2.dft 90 216 401 0 11 0 205
rc.10-10-sc-po-2.dft 97 210 390 0 10 0 200
rc.15-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.15-1-sc-po-2.dft 9 18 40 0 1 0 17
rc.15-15-hc-po-2.dft 134 321 596 0 16 0 305
rc.15-15-sc-po-2.dft 129 315 585 0 15 0 300
rc.2-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.2-1-sc-po-2.dft 10 18 40 0 1 0 17
rc.2-2-hc-po-2.dft 20 48 89 0 3 0 45
rc.2-2-sc-po-2.dft 17 42 78 0 2 0 40
rc.2-3-hc-po-2.dft 30 69 128 0 4 0 65
rc.2-3-sc-po-2.dft 24 63 117 0 3 0 60
rc.2-4-hc-po-2.dft 39 90 167 0 5 0 85
rc.2-4-sc-po-2.dft 35 84 156 0 4 0 80
rc.20-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.20-1-sc-po-2.dft 9 18 40 0 1 0 17
rc.20-20-hc-po-2.dft 175 426 791 0 21 0 405
rc.20-20-sc-po-2.dft 168 420 780 0 20 0 400
rc.25-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.25-1-sc-po-2.dft 10 18 40 0 1 0 17
rc.25-25-hc-po-2.dft 216 531 986 0 26 0 505
rc.25-25-sc-po-2.dft 214 525 975 0 25 0 500
rc.3-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.3-1-sc-po-2.dft 9 18 40 0 1 0 17
rc.3-2-hc-po-2.dft 20 48 89 0 3 0 45
rc.3-2-sc-po-2.dft 18 42 78 0 2 0 40
rc.3-3-hc-po-2.dft 28 69 128 0 4 0 65
rc.3-3-sc-po-2.dft 25 63 117 0 3 0 60
rc.3-4-hc-po-2.dft 37 90 167 0 5 0 85
rc.3-4-sc-po-2.dft 35 84 156 0 4 0 80
rc.30-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.30-1-sc-po-2.dft 10 18 40 0 1 0 17
rc.30-30-hc-po-2.dft 263 636 1181 0 31 0 605
rc.30-30-sc-po-2.dft 262 630 1170 0 30 0 600
rc.4-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.4-1-sc-po-2.dft 10 18 40 0 1 0 17
rc.4-2-hc-po-2.dft 20 48 89 0 3 0 45
rc.4-2-sc-po-2.dft 17 42 78 0 2 0 40
rc.4-3-hc-po-2.dft 30 69 128 0 4 0 65
rc.4-3-sc-po-2.dft 29 63 117 0 3 0 60
rc.4-4-hc-po-2.dft 37 90 167 0 5 0 85
rc.4-4-sc-po-2.dft 34 84 156 0 4 0 80
rc.5-1-hc-po-2.dft 13 24 51 0 2 0 22
rc.5-1-sc-po-2.dft 11 18 40 0 1 0 17
rc.5-5-hc-po-2.dft 45 111 206 0 6 0 105
rc.5-5-sc-po-2.dft 42 105 195 0 5 0 100
